"Taxa","tag","Site","Survey","Group_id","Count","Tolerance"
"Asian_Clam","ShoppingPlaza1","ShoppingPlaza",1,"A",2,"Tolerant"
"Odonata","ShoppingPlaza1","ShoppingPlaza",1,"A",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza1","ShoppingPlaza",1,"A",0,"Tolerant"
"Rock_Snail","ShoppingPlaza1","ShoppingPlaza",1,"A",0,"Moderate"
"Round_Worm","ShoppingPlaza1","ShoppingPlaza",1,"A",0,"Tolerant"
"Stonefly","ShoppingPlaza1","ShoppingPlaza",1,"A",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza1","ShoppingPlaza",1,"A",0,"Moderate"
"Diptera","ShoppingPlaza1","ShoppingPlaza",1,"A",0,"Moderate"
"Diplopoda","ShoppingPlaza1","ShoppingPlaza",1,"A",0,"Moderate"
"Chilopoda","ShoppingPlaza1","ShoppingPlaza",1,"A",0,"Moderate"
"Asian_Clam","ShoppingPlaza2","ShoppingPlaza",2,"B",3,"Tolerant"
"Odonata","ShoppingPlaza2","ShoppingPlaza",2,"B",1,"Moderate"
"Aquatic_Worm","ShoppingPlaza2","ShoppingPlaza",2,"B",0,"Tolerant"
"Rock_Snail","ShoppingPlaza2","ShoppingPlaza",2,"B",0,"Moderate"
"Round_Worm","ShoppingPlaza2","ShoppingPlaza",2,"B",0,"Tolerant"
"Stonefly","ShoppingPlaza2","ShoppingPlaza",2,"B",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza2","ShoppingPlaza",2,"B",0,"Moderate"
"Diptera","ShoppingPlaza2","ShoppingPlaza",2,"B",0,"Moderate"
"Diplopoda","ShoppingPlaza2","ShoppingPlaza",2,"B",0,"Moderate"
"Chilopoda","ShoppingPlaza2","ShoppingPlaza",2,"B",0,"Moderate"
"Asian_Clam","ShoppingPlaza3","ShoppingPlaza",3,"A",6,"Tolerant"
"Odonata","ShoppingPlaza3","ShoppingPlaza",3,"A",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza3","ShoppingPlaza",3,"A",0,"Tolerant"
"Rock_Snail","ShoppingPlaza3","ShoppingPlaza",3,"A",0,"Moderate"
"Round_Worm","ShoppingPlaza3","ShoppingPlaza",3,"A",0,"Tolerant"
"Stonefly","ShoppingPlaza3","ShoppingPlaza",3,"A",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza3","ShoppingPlaza",3,"A",0,"Moderate"
"Diptera","ShoppingPlaza3","ShoppingPlaza",3,"A",0,"Moderate"
"Diplopoda","ShoppingPlaza3","ShoppingPlaza",3,"A",0,"Moderate"
"Chilopoda","ShoppingPlaza3","ShoppingPlaza",3,"A",0,"Moderate"
"Asian_Clam","ShoppingPlaza4","ShoppingPlaza",4,"B",10,"Tolerant"
"Odonata","ShoppingPlaza4","ShoppingPlaza",4,"B",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza4","ShoppingPlaza",4,"B",0,"Tolerant"
"Rock_Snail","ShoppingPlaza4","ShoppingPlaza",4,"B",0,"Moderate"
"Round_Worm","ShoppingPlaza4","ShoppingPlaza",4,"B",0,"Tolerant"
"Stonefly","ShoppingPlaza4","ShoppingPlaza",4,"B",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza4","ShoppingPlaza",4,"B",0,"Moderate"
"Diptera","ShoppingPlaza4","ShoppingPlaza",4,"B",0,"Moderate"
"Diplopoda","ShoppingPlaza4","ShoppingPlaza",4,"B",0,"Moderate"
"Chilopoda","ShoppingPlaza4","ShoppingPlaza",4,"B",0,"Moderate"
"Asian_Clam","ShoppingPlaza5","ShoppingPlaza",5,"A",0,"Tolerant"
"Odonata","ShoppingPlaza5","ShoppingPlaza",5,"A",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza5","ShoppingPlaza",5,"A",0,"Tolerant"
"Rock_Snail","ShoppingPlaza5","ShoppingPlaza",5,"A",0,"Moderate"
"Round_Worm","ShoppingPlaza5","ShoppingPlaza",5,"A",0,"Tolerant"
"Stonefly","ShoppingPlaza5","ShoppingPlaza",5,"A",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza5","ShoppingPlaza",5,"A",0,"Moderate"
"Diptera","ShoppingPlaza5","ShoppingPlaza",5,"A",0,"Moderate"
"Diplopoda","ShoppingPlaza5","ShoppingPlaza",5,"A",0,"Moderate"
"Chilopoda","ShoppingPlaza5","ShoppingPlaza",5,"A",0,"Moderate"
"Asian_Clam","ShoppingPlaza6","ShoppingPlaza",6,"B",5,"Tolerant"
"Odonata","ShoppingPlaza6","ShoppingPlaza",6,"B",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza6","ShoppingPlaza",6,"B",0,"Tolerant"
"Rock_Snail","ShoppingPlaza6","ShoppingPlaza",6,"B",0,"Moderate"
"Round_Worm","ShoppingPlaza6","ShoppingPlaza",6,"B",0,"Tolerant"
"Stonefly","ShoppingPlaza6","ShoppingPlaza",6,"B",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza6","ShoppingPlaza",6,"B",0,"Moderate"
"Diptera","ShoppingPlaza6","ShoppingPlaza",6,"B",0,"Moderate"
"Diplopoda","ShoppingPlaza6","ShoppingPlaza",6,"B",0,"Moderate"
"Chilopoda","ShoppingPlaza6","ShoppingPlaza",6,"B",0,"Moderate"
"Asian_Clam","ShoppingPlaza7","ShoppingPlaza",7,"A",4,"Tolerant"
"Odonata","ShoppingPlaza7","ShoppingPlaza",7,"A",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza7","ShoppingPlaza",7,"A",0,"Tolerant"
"Rock_Snail","ShoppingPlaza7","ShoppingPlaza",7,"A",0,"Moderate"
"Round_Worm","ShoppingPlaza7","ShoppingPlaza",7,"A",0,"Tolerant"
"Stonefly","ShoppingPlaza7","ShoppingPlaza",7,"A",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza7","ShoppingPlaza",7,"A",0,"Moderate"
"Diptera","ShoppingPlaza7","ShoppingPlaza",7,"A",0,"Moderate"
"Diplopoda","ShoppingPlaza7","ShoppingPlaza",7,"A",0,"Moderate"
"Chilopoda","ShoppingPlaza7","ShoppingPlaza",7,"A",0,"Moderate"
"Asian_Clam","ShoppingPlaza8","ShoppingPlaza",8,"B",43,"Tolerant"
"Odonata","ShoppingPlaza8","ShoppingPlaza",8,"B",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza8","ShoppingPlaza",8,"B",0,"Tolerant"
"Rock_Snail","ShoppingPlaza8","ShoppingPlaza",8,"B",0,"Moderate"
"Round_Worm","ShoppingPlaza8","ShoppingPlaza",8,"B",0,"Tolerant"
"Stonefly","ShoppingPlaza8","ShoppingPlaza",8,"B",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza8","ShoppingPlaza",8,"B",0,"Moderate"
"Diptera","ShoppingPlaza8","ShoppingPlaza",8,"B",0,"Moderate"
"Diplopoda","ShoppingPlaza8","ShoppingPlaza",8,"B",0,"Moderate"
"Chilopoda","ShoppingPlaza8","ShoppingPlaza",8,"B",0,"Moderate"
"Asian_Clam","ShoppingPlaza9","ShoppingPlaza",9,"A",0,"Tolerant"
"Odonata","ShoppingPlaza9","ShoppingPlaza",9,"A",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza9","ShoppingPlaza",9,"A",0,"Tolerant"
"Rock_Snail","ShoppingPlaza9","ShoppingPlaza",9,"A",0,"Moderate"
"Round_Worm","ShoppingPlaza9","ShoppingPlaza",9,"A",0,"Tolerant"
"Stonefly","ShoppingPlaza9","ShoppingPlaza",9,"A",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza9","ShoppingPlaza",9,"A",0,"Moderate"
"Diptera","ShoppingPlaza9","ShoppingPlaza",9,"A",0,"Moderate"
"Diplopoda","ShoppingPlaza9","ShoppingPlaza",9,"A",0,"Moderate"
"Chilopoda","ShoppingPlaza9","ShoppingPlaza",9,"A",0,"Moderate"
"Asian_Clam","ShoppingPlaza10","ShoppingPlaza",10,"B",16,"Tolerant"
"Odonata","ShoppingPlaza10","ShoppingPlaza",10,"B",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza10","ShoppingPlaza",10,"B",0,"Tolerant"
"Rock_Snail","ShoppingPlaza10","ShoppingPlaza",10,"B",0,"Moderate"
"Round_Worm","ShoppingPlaza10","ShoppingPlaza",10,"B",0,"Tolerant"
"Stonefly","ShoppingPlaza10","ShoppingPlaza",10,"B",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza10","ShoppingPlaza",10,"B",0,"Moderate"
"Diptera","ShoppingPlaza10","ShoppingPlaza",10,"B",0,"Moderate"
"Diplopoda","ShoppingPlaza10","ShoppingPlaza",10,"B",0,"Moderate"
"Chilopoda","ShoppingPlaza10","ShoppingPlaza",10,"B",0,"Moderate"
"Asian_Clam","ShoppingPlaza11","ShoppingPlaza",11,"A",1,"Tolerant"
"Odonata","ShoppingPlaza11","ShoppingPlaza",11,"A",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza11","ShoppingPlaza",11,"A",0,"Tolerant"
"Rock_Snail","ShoppingPlaza11","ShoppingPlaza",11,"A",0,"Moderate"
"Round_Worm","ShoppingPlaza11","ShoppingPlaza",11,"A",0,"Tolerant"
"Stonefly","ShoppingPlaza11","ShoppingPlaza",11,"A",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza11","ShoppingPlaza",11,"A",0,"Moderate"
"Diptera","ShoppingPlaza11","ShoppingPlaza",11,"A",0,"Moderate"
"Diplopoda","ShoppingPlaza11","ShoppingPlaza",11,"A",0,"Moderate"
"Chilopoda","ShoppingPlaza11","ShoppingPlaza",11,"A",0,"Moderate"
"Asian_Clam","ShoppingPlaza12","ShoppingPlaza",12,"B",0,"Tolerant"
"Odonata","ShoppingPlaza12","ShoppingPlaza",12,"B",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza12","ShoppingPlaza",12,"B",1,"Tolerant"
"Rock_Snail","ShoppingPlaza12","ShoppingPlaza",12,"B",0,"Moderate"
"Round_Worm","ShoppingPlaza12","ShoppingPlaza",12,"B",0,"Tolerant"
"Stonefly","ShoppingPlaza12","ShoppingPlaza",12,"B",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza12","ShoppingPlaza",12,"B",0,"Moderate"
"Diptera","ShoppingPlaza12","ShoppingPlaza",12,"B",0,"Moderate"
"Diplopoda","ShoppingPlaza12","ShoppingPlaza",12,"B",0,"Moderate"
"Chilopoda","ShoppingPlaza12","ShoppingPlaza",12,"B",0,"Moderate"
"Asian_Clam","ShoppingPlaza13","ShoppingPlaza",13,"A",7,"Tolerant"
"Odonata","ShoppingPlaza13","ShoppingPlaza",13,"A",1,"Moderate"
"Aquatic_Worm","ShoppingPlaza13","ShoppingPlaza",13,"A",0,"Tolerant"
