Site,Survey,Group_id,Taxa,Count
ShoppingPlaza,1,A,Asian_Clam,2
ShoppingPlaza,2,B,Odonata,1
ShoppingPlaza,2,B,Asian_Clam,3
ShoppingPlaza,3,A,Asian_Clam,6
ShoppingPlaza,4,B,Asian_Clam,10
ShoppingPlaza,5,A,nobs,0
ShoppingPlaza,6,B,Asian_Clam,5
ShoppingPlaza,7,A,Asian_Clam,4
ShoppingPlaza,8,B,Asian_Clam,43
ShoppingPlaza,9,A,nobs,0
ShoppingPlaza,10,B,Asian_Clam,16
ShoppingPlaza,11,A,Asian_Clam,1
ShoppingPlaza,12,B,Aquatic_Worm,1
ShoppingPlaza,13,A,Odonata,1
ShoppingPlaza,13,A,Asian_Clam,7
ShoppingPlaza,14,B,Asian_Clam,75
ShoppingPlaza,15,A,Asian_Clam,18
ShoppingPlaza,16,B,Asian_Clam,32
ShoppingPlaza,17,A,Asian_Clam,105
ShoppingPlaza,18,B,Asian_Clam,17
Upstream,1,C,Rock_Snail,1
Upstream,2,D,Asian_Clam,5
Upstream,3,C,Asian_Clam,1
Upstream,4,D,Asian_Clam,3
Upstream,5,C,Round_Worm,1
Upstream,6,D,Asian_Clam,20
Upstream,7,C,nobs,0
Upstream,8,C,Aquatic_Worm,3
Upstream,8,C,Stonefly,2
Upstream,8,C,RiffleBeetle,1
Upstream,9,D,Asian_Clam,3
Upstream,10,D,Diptera,7
Upstream,11,C,Diplopoda,1
Upstream,11,C,Stonefly,1
Upstream,11,C,RiffleBeetle,1
Upstream,12,C,Aquatic_Worm,2
Upstream,13,D,Chilopoda,1
Upstream,13,D,RiffleBeetle,1
